CGPA,Internships,AptitudeScore,CommunicationScore,Projects,Certifications,PlacementTraining,Placed
8.57,0,98,49,0,4,0,1
6.89,0,63,91,4,4,0,1
6.15,3,84,41,2,2,0,1
7.83,1,82,66,4,3,0,1
9.8,3,77,45,1,2,1,1
9.56,3,57,64,0,3,0,1
9.66,3,87,43,4,4,1,1
8.26,0,67,70,1,0,1,1
5.39,1,79,80,5,2,0,1
5.61,0,60,65,5,3,1,1
9.19,0,93,94,2,4,0,1
5.27,0,49,91,0,4,1,1
6.67,2,91,64,1,2,1,1
6.73,1,66,73,2,0,1,1
6.12,3,98,90,5,0,0,1
5.83,0,63,72,0,4,0,0
6.39,1,67,89,4,0,0,1
9.88,0,88,59,5,3,0,1
9.98,0,46,40,4,2,0,1
9.0,1,71,69,4,0,0,1
6.89,3,79,58,1,0,1,1
8.57,1,41,93,3,0,1,1
7.49,2,43,40,4,2,1,1
6.36,2,85,73,3,0,0,1
9.89,3,89,46,4,0,0,1
6.11,3,62,98,4,0,0,1
7.85,2,72,67,1,2,1,1
9.94,3,95,85,2,3,1,1
8.34,0,53,70,1,1,0,1
8.68,0,58,87,4,2,1,1
8.21,1,41,40,4,3,0,1
6.3,1,42,62,3,3,0,1
6.73,3,69,48,1,4,1,1
6.1,1,61,83,0,1,1,1
7.44,1,62,71,0,1,0,1
7.56,0,79,41,4,0,0,1
6.09,1,82,85,3,1,1,1
9.5,1,62,76,2,1,1,1
5.59,3,80,77,1,0,0,1
8.26,1,51,62,4,1,1,1
5.68,0,70,45,2,1,1,1
8.17,0,46,49,4,0,1,1
7.02,1,97,85,1,3,1,1
8.69,2,92,75,2,1,0,1
6.95,3,50,75,0,2,0,1
8.05,1,73,94,5,4,1,1
6.07,3,86,59,2,2,1,1
5.26,1,98,84,2,1,0,1
8.85,0,48,48,0,0,0,1
8.52,3,81,64,2,2,1,1
9.0,3,90,69,5,1,1,1
6.8,3,98,98,0,4,0,1
9.75,2,88,86,3,2,1,1
8.19,0,62,76,5,0,1,1
7.45,2,98,65,0,4,1,1
5.2,1,55,46,0,1,0,0
7.37,2,53,54,4,0,0,1
9.62,1,98,62,4,1,0,1
9.31,2,74,57,2,1,0,1
5.19,2,63,74,3,3,0,1
5.38,0,82,79,1,3,0,1
6.58,0,43,68,5,0,0,1
8.13,3,84,81,3,1,0,1
7.31,1,69,98,4,4,1,1
9.7,2,98,78,5,3,0,1
8.84,0,92,83,0,3,0,1
6.99,1,64,78,3,4,0,1
6.19,2,84,53,5,1,1,1
8.58,0,64,87,0,4,1,1
5.23,2,88,96,3,3,0,1
9.75,0,76,82,3,2,1,1
8.07,0,46,91,3,2,1,1
9.71,2,93,92,2,4,1,1
6.15,1,96,65,0,0,1,1
8.9,1,44,44,5,0,0,1
9.64,1,88,98,1,2,1,1
7.46,0,63,42,2,4,1,1
8.74,0,48,43,5,4,1,1
7.29,3,42,98,3,4,0,1
5.22,1,51,81,0,0,0,0
8.68,1,63,99,5,2,0,1
5.24,1,45,76,3,4,1,1
5.38,0,89,79,4,4,0,1
9.12,3,79,73,2,4,0,1
8.67,3,58,55,3,0,0,1
9.34,0,52,82,4,0,0,1
8.4,2,66,77,3,4,0,1
9.81,0,90,70,1,1,1,1
6.68,1,78,70,1,3,1,1
9.16,0,51,78,1,4,1,1
6.63,0,56,79,1,3,1,1
7.7,2,87,45,2,1,0,1
9.81,2,67,99,5,4,0,1
8.94,3,71,75,1,3,0,1
5.83,3,61,56,1,0,1,1
8.1,2,57,89,5,4,1,1
8.75,2,91,51,4,2,0,1
6.62,2,71,90,2,1,0,1
7.23,1,73,68,3,0,0,1
7.26,2,54,94,4,4,0,1
6.1,1,86,53,3,2,0,1
9.34,1,83,95,3,4,0,1
9.55,0,98,59,5,2,0,1
7.21,2,40,97,3,1,0,1
6.0,0,64,63,3,1,0,1
7.36,2,47,99,5,0,0,1
5.46,3,54,66,5,1,1,1
5.09,0,83,92,3,1,0,1
5.93,2,64,69,5,0,1,1
8.43,3,48,77,0,3,0,1
8.26,0,92,41,2,4,0,1
5.06,1,69,57,5,2,0,1
8.79,3,77,80,2,2,1,1
5.73,3,96,85,5,3,1,1
6.73,3,71,89,3,0,1,1
7.67,0,52,69,0,4,1,1
6.79,2,41,77,1,1,1,1
9.11,1,94,83,0,2,0,1
8.53,1,48,45,0,0,1,1
9.68,3,89,67,5,3,1,1
8.06,2,46,50,3,3,1,1
9.09,1,42,80,3,1,1,1
5.41,1,51,62,3,4,0,1
9.36,1,58,94,5,3,0,1
5.91,2,92,94,2,3,1,1
5.1,2,61,76,0,2,0,0
5.41,2,74,68,5,0,0,1
7.31,1,60,70,1,4,1,1
7.13,3,67,83,5,3,1,1
5.2,0,90,71,0,3,1,1
8.63,3,75,41,1,3,1,1
8.28,2,90,97,5,4,1,1
6.92,1,79,60,0,2,1,1
